Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Aruba,91.66040039,100,100,100,100,100,100,100,100,100,93.35629272,100
Africa Eastern and Southern,19.81128305,19.90056899,21.52581195,22.47430904,23.78191837,23.48741496,24.76353792,26.76651776,25.93417948,26.1815568,27.55713714,29.08982683
Afghanistan,1.613590956,4.074573994,9.409157753,14.73850632,20.06496811,25.39089394,30.71869087,36.05101013,42.40000153,46.74005127,42.70000076,43.2220192
Africa Western and Central,34.15068684,35.26646112,35.76196703,39.87623729,37.5459599,37.84703616,39.83655929,40.78877885,41.74465763,41.81686069,41.79985796,45.91147398
Angola,24.21274376,20,26.35211754,27.41277695,28.47055054,29.52778625,30.58689499,37.5,38.49000168,33.80218887,34.89563751,34.59999847
Albania,100,100,100,100,100,100,100,100,100,100,100,100
Andorra,100,100,100,100,100,100,100,100,100,100,100,100
Arab World,80.73614121,81.58623137,81.54022203,82.50815948,82.50368475,83.21298163,85.45900327,83.76443999,83.38698965,84.3134838,87.11486281,87.33266124
United Arab Emirates,100,100,100,100,100,100,100,100,100,100,100,100
Argentina,95.78328705,95.51106262,96.22886658,96.44263458,96.65350342,96.86384583,97.07605743,97.29279327,97.51675415,97.75065613,98.81999969,99.09535217
Armenia,98.90000153,100,98,99.19013214,99.18923187,99.80000305,99.18823242,99.1931839,99.20537567,99.22750092,99.80000305,99.60579681
American Samoa,,,,,,,,,,,,
Antigua and Barbuda,97.68926239,97.78525543,100,97.95682526,98.03710175,92.19999695,100,100,100,98.48127747,98.59723663,94.55201721
Australia,100,100,100,100,100,100,100,100,100,100,100,100
Austria,100,100,100,100,100,100,100,100,100,100,100,100
Azerbaijan,98.90822601,98.62180328,100,98.92746735,99.07479858,99.22159576,99.5,99.52345276,99.68386841,99.85422516,99.94379425,99.90000153
Burundi,2.463236809,2.797420025,3.124018431,3.445381641,3.763858795,3.207317114,2.660000086,4.725946426,4.800000191,5.399016857,5.300000191,6.122684002
Belgium,100,100,100,100,100,100,100,100,100,100,100,100
Benin,21.53108406,21.89999962,23.41592789,24.34932327,25.27983284,26.20980453,27.89999962,28.07801628,29.02161407,29.97515106,34.20000076,36.90000153
Burkina Faso,9.075019836,9.521351814,9.96009922,11.39999962,10.82423878,11.25432777,11.68628979,12.12277317,12.56648827,12.63000011,13.10000038,14.80841446
Bangladesh,32,35.03264618,37.8510704,40.66426086,40.59999847,44.22999954,50.52510071,46.5,54.73551559,57.56884766,55.25999832,59.59999847
Bulgaria,100,100,100,100,100,100,100,100,100,100,100,100
Bahrain,100,100,100,100,100,100,100,100,100,100,100,100
"Bahamas, The",100,100,100,100,100,100,100,100,100,100,100,100
Bosnia and Herzegovina,100,99.40000153,98.5,100,100,100,99.3872757,99.69999695,100,100,100,99.70578003
Belarus,100,100,100,100,100,100,100,100,100,100,100,100
Belize,79,80.19696045,81.02941895,81.85663605,82.68097687,83.504776,90.98853302,85.1606369,85.99806213,86.84542847,89.91722107,91.68173218
Bermuda,100,100,100,100,100,100,100,100,100,100,100,100
Bolivia,69.96304321,69.25853729,63.99685669,72.30000305,75.94530487,68.28820801,76.21128082,80.15657043,84.67498779,86.76559448,87.88631439,88.33594513
Brazil,94.391716,96.01652527,96.65299225,96.98009491,96.7651062,97.09351349,97.59431458,98.12538147,98.52662659,98.85694122,98.59999847,99.32868958
Barbados,100,100,100,100,99.99674225,99.98045349,100,100,100,100,100,100
Brunei Darussalam,100,100,100,100,100,100,100,100,100,100,100,100
Bhutan,31.14999962,40.04513168,43.97887802,41.09999847,51.83301163,59.8081131,59.68505478,71.80000305,67.55525208,71.50389862,73.28291321,81.76708984
Botswana,26.40897942,24.79999924,27,33.08310699,35.29891205,37.51417923,39.73131943,41.95298004,44.5,43.36000061,52.0177803,53.24000168
Central African Republic,6,5.736052036,6.177053928,6.612820148,7.04570055,7.47804451,7.805169106,8.350997925,7.480000019,9.252875328,9.800000191,10.24664783
Canada,100,100,100,100,100,100,100,100,100,100,100,100
Central Europe and the Baltics,100,100,100,100,100,100,100,100,100,100,100,100
Switzerland,100,100,100,100,100,100,100,100,100,100,100,100
Channel Islands,100,100,100,100,100,100,100,100,100,100,100,100
Chile,97.93869019,97.11580658,97.28368378,98.78232574,97.60608673,97.76531219,99.36811066,98.09201813,98.26486969,99.59365845,99.53839111,99.5881958
China,97.02179718,97.272789,97.51620483,97.75437927,97.9896698,98.22442627,98.46105194,98.70220184,98.95057678,99.20890045,99.69999695,99.84872437
Cote d'Ivoire,48.68946838,49.65585709,51.40000153,51.56823349,52.51891708,58.90000153,60.17105103,55.37762451,60.29999924,57.31510544,58.3014679,55.79999924
Cameroon,41,46.20000076,44.04040146,45.12301254,47.09999847,47.28193283,49,48.20000076,50.54139709,51.64415359,52.75955582,53.70000076
"Congo, Dem. Rep.",6.699999809,7.314364433,7.915844917,8.512089729,9.105448723,6,10.29296494,15.19999981,11.49862766,12.11501503,12.74405098,13.3884449
"Congo, Rep.",29.09001541,30.063591,31.02958298,31.99033737,32.94820786,33.79999924,34.86474609,35.82847214,36.79943085,37.09999847,39.78862,40.72169113
Colombia,95.19999695,98.47000122,94.90550232,95.12934875,95.35031128,96.80000305,95.79302979,96.01984406,96.8067627,96.05722809,96.78899384,96.69360352
Comoros,39.71535492,42.01866531,44.79999924,46.60488129,48.89248657,51.17955399,53.46849442,55.76195526,58.06264877,60.37328339,69.80770874,69.42580414
Cabo Verde,58.42232895,60.1615181,58.59999847,63.61949921,65.34298706,67,68.79075623,70.52010345,72.25667572,74.00318909,81.09999847,82.35624695
Costa Rica,96.94000244,98.24977875,98.50918579,98.69589996,98.95478058,99.05305481,99.14752197,99.21799469,99.2639389,99.4098053,98.99573517,99.23234558
Caribbean small states,86.8292943,89.45359272,89.28647811,89.37636601,89.86027002,90.28472104,90.76065166,91.71137472,92.88082606,92.19118634,93.40706039,93.390648
Cuba,97,96.22625732,95.5,96.51303101,96.65090942,96.78825378,96.92747498,97.07121277,97.22218323,97.38309479,97.55664825,97.74556732
Curacao,100,100,100,100,100,100,100,99.99740601,99.9841156,99.95490265,100,100
Cayman Islands,100,100,100,100,100,100,100,100,100,100,100,100
Cyprus,100,100,100,100,100,100,100,100,100,100,100,100
Czechia,100,100,100,100,100,100,100,100,100,100,100,100
Germany,100,100,100,100,100,100,100,100,100,100,100,100
Djibouti,56.37995148,56.36514282,49.70000076,56.31511688,56.2845993,56.25354767,55.5,56.19970703,56.18227768,56.17478943,56.17995071,56.20046997
Dominica,80.95181274,82.27921295,87.69999695,84.91362,86.22531128,87.53647614,88.84951019,90.16706085,90.90000153,92.8265686,94.17394257,95.5366745
Denmark,100,100,100,100,100,100,100,100,100,100,100,100
Dominican Republic,88.76493073,89.79135895,89.74981689,89.17380524,90.31656647,90.14122772,90.1181488,96.87634277,97.57619476,97.85775757,98.14541626,97.89887238
Algeria,98.97309875,98.96687317,98.95305634,98.93401337,98.91207886,98.88961029,98.86901093,98.85293579,99.30000305,98.84518433,98.8589325,98.88803101
East Asia & Pacific (excluding high income),91.31747175,91.8750826,92.41037156,92.63003793,93.54872922,93.14398832,94.26311651,94.34567845,94.8265437,94.62858787,95.04888518,95.71615317
Early-demographic dividend,66.70307244,65.4541739,68.94368835,70.02721759,70.82942344,71.85643311,73.31606559,74.70017268,76.30360435,77.6762939,78.36496387,75.17186894
East Asia & Pacific,92.22363722,92.72011328,93.19678045,93.39054208,94.21145838,93.84498555,94.84782602,94.92015438,95.35135071,95.16587648,95.54264368,96.14162161
Europe & Central Asia (excluding high income),99.88161907,99.88960963,99.90983026,99.9334517,99.90224845,99.87964153,99.87308545,99.88560809,99.90635441,99.91447973,99.93952173,99.92448053
Europe & Central Asia,99.94939642,99.9528657,99.96156179,99.97168145,99.95847295,99.94894879,99.94623597,99.95158327,99.96036656,99.96377494,99.97426582,99.96783612
Ecuador,93.73226166,94.02462006,94.30938721,94.97304535,94.86557007,95.83264923,96.31526184,96.81261444,97.20657349,96.47086334,97.46214294,96.87269592
"Egypt, Arab Rep.",97.69999695,97.34407806,97.53617859,98.80000305,97.9070282,99.40000153,99.04000092,98.46562958,99.80000305,98.86971283,99.39455414,99.4521637
Euro area,100,100,100,100,100,100,100,100,100,100,100,100
Eritrea,29.25451088,30.35256195,32.20000076,32.52825928,33.61060333,34.69240952,35.77609253,36.86429214,37.95972443,39.06509781,40.18312073,41.31650162
Spain,100,100,100,100,100,100,100,100,100,100,100,100
Estonia,100,100,100,100,100,100,100,100,100,100,100,100
Ethiopia,12.69999981,10.16249084,11.8548336,13.54194069,15.22616196,14,18.59540367,20.2854805,21.98278999,23.69003868,25.4099369,23
European Union,100,100,100,100,100,100,100,100,100,100,100,100
Fragile and conflict affected situations,40.37997962,40.82682894,41.44320146,43.24947099,42.62509663,42.72354567,43.67085284,44.98235565,44.83480322,45.65090553,46.19287021,48.07790604
Finland,100,100,100,100,100,100,100,100,100,100,100,100
Fiji,75.72492218,77.00067902,79.62999725,80,80.7918396,82.05135345,83.31273651,88.90000153,86.16000366,87.13486481,89.24858093,90.14612579
France,100,100,100,100,100,100,100,100,100,100,100,100
Faroe Islands,100,100,100,100,100,100,100,100,100,100,100,100
"Micronesia, Fed. Sts.",46,48.33746719,50.10003281,51.85736465,53.61180878,55.36571884,57.12149811,58.88180161,60.64933395,62.4268074,64.53151703,66.59398651
Gabon,73.59999847,77.14080048,77.84243774,78.53884125,79.23235321,81.59999847,80.62017822,81.31954956,82.02615356,82.74269867,89.46172333,88.85956573
United Kingdom,100,100,100,100,100,100,100,100,100,100,100,100
Georgia,99.81181335,99.80532837,99.90000153,100,99.93000031,97.93505096,100,100,100,100,100,100
Ghana,43.70000076,44.83751297,46.85807037,48.29999924,50.88582993,41.25,55.09344864,56.92979431,60.5,60.99077988,64.19999695,64.06256104
Gibraltar,100,100,100,100,100,100,100,100,100,100,100,100
Guinea,15.1462574,16.43238449,17.71092606,18.98423195,20.25465202,20.20000076,22.79629135,24.07256889,25.35607719,26.6495266,27.95562363,29.27708054
"Gambia, The",34.29999924,29.87001991,31.51756477,27.79999924,34.79930115,30.45626831,38.07894516,39.72422791,41.3767395,43.0391922,46.65527725,48.24708557
Guinea-Bissau,,,1.25370574,2.591462374,3.926332712,5.26066637,14.53619957,7.937600613,9.285559654,4.699999809,6,13.39991188
Equatorial Guinea,65.55956268,65.57118988,65.57523346,65.57404327,65.56996918,65.56535339,65.56261444,65.56439209,65.57341003,65.59236145,66.15726471,66.09999847
Greece,100,100,100,100,100,100,100,100,100,100,100,100
Grenada,86.0422287,86.37165833,86.69351196,87.01012421,87.32384491,87.63703918,87.95210266,88.27168274,90,88.93525696,89.28466034,88.80000305
Greenland,100,100,100,100,100,100,100,100,100,100,100,100
Guatemala,73.31820679,73.73272705,78.66783905,78.51220703,77.22824097,78.38920593,83.73099518,80.71940613,81.89399719,83.07852936,84.27571106,84.02641296
Guam,100,100,100,100,100,100,100,100,100,100,100,100
Guyana,74.51728058,75.10073853,75.67661285,76.24725342,76.81501007,77.5,73.38259125,78.52492523,79.1057663,77.59999847,83.09162903,84.08454132
High income,99.8993578,99.89453683,99.8991729,99.93668928,99.90755146,99.91151184,99.94108635,99.92458156,99.92924426,99.95043406,99.94868896,99.95561429
"Hong Kong SAR, China",100,100,100,100,100,100,100,100,100,100,100,100
Honduras,67.38335419,64.19999695,63.14113617,65.09046173,67.11352539,68.90331268,71.26644897,73.54818726,76.39689636,78.26968384,80.98466492,82.19529724
Heavily indebted poor countries (HIPC),17.75930023,18.5303751,19.26997523,20.77618792,21.86311511,21.6090083,24.22528101,25.79441123,25.88766443,27.03198007,28.81301958,29.31140189
Croatia,100,100,100,100,100,100,100,100,100,100,100,100
Haiti,33.70000076,31.54238129,33.15247345,31.60000038,34.11081314,34.58800507,33.90000153,35.55065155,36.04146576,36.54222107,37.0556221,37.58438492
Hungary,100,100,100,100,100,100,100,100,100,100,100,100
IBRD only,84.31171092,83.74093111,85.83059289,86.40684131,86.91750739,87.62374994,88.35787433,89.1422351,89.9567448,90.76851169,91.45970412,89.19749216
IDA & IBRD total,73.9053173,73.52032897,75.30047757,76.04034368,76.32321267,76.93755419,77.80556582,78.40963323,79.17099695,79.8741029,80.32302133,79.08002616
IDA total,34.99004531,35.78371421,36.96372469,38.78639385,38.7438766,39.52242255,41.57257463,42.14719815,43.21289605,44.02975935,44.21311804,46.64853239
IDA blend,54.22476113,54.95693915,55.32179383,57.75335895,56.40789345,56.88039953,57.27943324,58.47760898,58.86771312,58.12322998,57.11115301,61.68633695
Indonesia,86.30000305,86.26000214,87.59999847,87.94000244,89.01000214,85.03832245,90.62000275,91.09999847,92.73000336,93.55000305,94.15000153,94.83000183
IDA only,25.17789652,26.00876052,27.62997217,29.15482054,29.78259488,30.72012817,33.6826864,33.97392384,35.37123059,36.96210752,37.74422709,39.07517013
Isle of Man,100,100,100,100,100,100,100,100,100,100,100,100
India,58.72147369,55.79999924,62.29999924,64.04748535,64.40000153,67.5798111,67.90000153,71.11986542,72.89938354,75,76.30000305,67.59999847
Not classified,,,,,,,,,,,,
Ireland,100,100,100,100,100,100,100,100,100,100,100,100
"Iran, Islamic Rep.",97.90000153,98.12930298,98.23327637,98.33202362,98.42787933,98.52319336,98.40000153,98.7220993,98.83104706,99.70999908,99.49104309,99.57264709
Iraq,96.92167664,97.06279755,97.19633484,97.32463074,97.45004272,97.57492065,97.62210846,98.09999847,97.97143555,98.11988068,98.28096771,98
Iceland,100,100,100,100,100,100,100,100,100,100,100,100
Israel,100,100,100,100,100,100,100,100,100,100,100,100
Italy,100,100,100,100,100,100,100,100,100,100,100,100
Jamaica,84.39413452,87.70811462,86.68128967,86.60856628,87.3378067,88.06650543,88.79708099,89.53218079,92,91.02677917,92.19999695,91.09999847
Jordan,98.93427277,98.97806549,99.5,99.04524994,99.17343903,99.10089111,100,98.80000305,100,99.40000153,100,99.65156555
Japan,100,100,100,100,100,100,100,100,100,100,100,100
Kazakhstan,99.50955963,99.65000153,99.80999756,99.91999817,99.95999908,100,99.76654816,100,100,100,100,99.79747009
Kenya,15.13117123,17.03308487,18.92741394,16,22.70271492,24.58838654,26.47592926,28.36799431,30.26729012,23,19.20000076,36.03565598
Kyrgyz Republic,99.61024475,99.58100891,100,99.50212097,99.45718384,99.44230652,98.88999939,99.54000092,99.51000214,99.5,99,98.31999969
Cambodia,16.60000038,14.62477779,18.18709946,19.29999924,25.29838371,20.5,32.40758133,35.96763611,26.39999962,43.1121521,31.10000038,50.30726242
Kiribati,55.124897,56.91902542,58.70556641,60.48687744,62.26529694,69.67640686,68.80000305,67.60722351,69.39872742,64.19000244,63.16773605,74.84373474
St. Kitts and Nevis,95.28153992,93.52999878,95.80318451,96.05498505,96.30389404,96.55226898,96.80252075,97.05728912,97.31929016,97.59122467,99.84339142,100
"Korea, Rep.",100,100,100,100,100,100,100,100,100,100,100,100
Kuwait,100,100,100,100,100,100,100,100,100,100,100,100
Latin America & Caribbean (excluding high income),91.10777032,91.74872763,92.07764039,92.30843488,92.73648646,93.10666398,93.80948359,94.11687435,94.92072216,95.03554117,95.55817402,95.91615563
Lao PDR,42.49613953,45.26670837,46.29999924,48,53.54230881,57.20000076,57.04105759,54.95999908,66,67.35939789,70.14994049,70
Lebanon,99.35159302,99.34656525,99.33395386,99.3161087,99.90000153,99.27410889,99.38381958,97.80000305,99.90000153,99.23448944,99.47441101,99.68401337
Liberia,,,,,,,,3,1.279289603,1.899999976,5.162664413,4.099999905
Libya,99.80000305,97.14705658,95.42337036,93.69444275,91.96263885,90.23028564,88.49981689,86.77386475,85.05513763,83.34635925,81.65022278,79.9694519
St. Lucia,89.38743591,89.90000153,90.35829163,90.83469391,91.30821228,91.78118896,92.25604248,92.73542023,93.22202301,93.71856689,94.19999695,94.7525177
Latin America & Caribbean,91.73918167,92.35374015,92.65560625,92.74758319,93.23479295,93.5650494,94.27758976,94.50233375,95.23644136,95.38342035,95.85592914,96.18157452
Least developed countries: UN classification,20.07511915,20.89131991,22.91137362,24.40365858,25.03038428,26.20550374,28.84605729,29.57845764,30.86613277,32.51195877,33.08817551,34.8124077
Low income,15.61258612,16.31659912,16.96880359,18.71487517,19.61504575,19.48280851,21.55837636,23.21608826,23.11425415,24.58188679,26.09848984,26.76257445
Liechtenstein,100,100,100,100,100,100,100,100,100,100,100,100
